Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
22-08-2023,China Ferry Terminal,Arrival,719,1046,60,1825
22-08-2023,China Ferry Terminal,Departure,728,1035,69,1832
23-08-2023,China Ferry Terminal,Arrival,691,1107,78,1876
23-08-2023,China Ferry Terminal,Departure,662,1031,92,1785
24-08-2023,China Ferry Terminal,Arrival,728,1109,76,1913
24-08-2023,China Ferry Terminal,Departure,761,1011,69,1841
25-08-2023,China Ferry Terminal,Arrival,856,1342,85,2283
25-08-2023,China Ferry Terminal,Departure,1381,1161,56,2598
26-08-2023,China Ferry Terminal,Arrival,772,1725,63,2560
26-08-2023,China Ferry Terminal,Departure,1250,1326,56,2632
27-08-2023,China Ferry Terminal,Arrival,1664,1118,43,2825
27-08-2023,China Ferry Terminal,Departure,617,1433,71,2121
28-08-2023,China Ferry Terminal,Arrival,931,935,61,1927
28-08-2023,China Ferry Terminal,Departure,752,1002,68,1822
29-08-2023,China Ferry Terminal,Arrival,686,667,80,1433
29-08-2023,China Ferry Terminal,Departure,531,816,40,1387
30-08-2023,China Ferry Terminal,Arrival,719,513,57,1289
30-08-2023,China Ferry Terminal,Departure,558,709,64,1331
31-08-2023,China Ferry Terminal,Arrival,243,283,42,568
31-08-2023,China Ferry Terminal,Departure,372,243,28,643
1/9/2023,China Ferry Terminal,Arrival,0,0,0,0
1/9/2023,China Ferry Terminal,Departure,0,0,0,0
2/9/2023,China Ferry Terminal,Arrival,0,0,0,0
2/9/2023,China Ferry Terminal,Departure,0,0,0,0
3/9/2023,China Ferry Terminal,Arrival,536,222,18,776
3/9/2023,China Ferry Terminal,Departure,270,172,25,467
4/9/2023,China Ferry Terminal,Arrival,467,496,40,1003
4/9/2023,China Ferry Terminal,Departure,499,326,67,892
5/9/2023,China Ferry Terminal,Arrival,448,493,32,973
5/9/2023,China Ferry Terminal,Departure,582,373,54,1009
6/9/2023,China Ferry Terminal,Arrival,486,487,67,1040
6/9/2023,China Ferry Terminal,Departure,570,397,37,1004
7/9/2023,China Ferry Terminal,Arrival,474,518,61,1053
7/9/2023,China Ferry Terminal,Departure,514,470,49,1033
8/9/2023,China Ferry Terminal,Arrival,638,394,44,1076
8/9/2023,China Ferry Terminal,Departure,808,376,55,1239
9/9/2023,China Ferry Terminal,Arrival,530,496,58,1084
9/9/2023,China Ferry Terminal,Departure,1036,365,47,1448
10/9/2023,China Ferry Terminal,Arrival,1189,336,52,1577
10/9/2023,China Ferry Terminal,Departure,389,557,61,1007
11/9/2023,China Ferry Terminal,Arrival,543,442,33,1018
11/9/2023,China Ferry Terminal,Departure,649,306,55,1010
12/9/2023,China Ferry Terminal,Arrival,439,417,43,899
12/9/2023,China Ferry Terminal,Departure,522,350,50,922
13-09-2023,China Ferry Terminal,Arrival,520,533,51,1104
13-09-2023,China Ferry Terminal,Departure,531,462,53,1046
14-09-2023,China Ferry Terminal,Arrival,495,454,52,1001
14-09-2023,China Ferry Terminal,Departure,508,424,37,969
15-09-2023,China Ferry Terminal,Arrival,663,559,73,1295
15-09-2023,China Ferry Terminal,Departure,1006,529,51,1586
16-09-2023,China Ferry Terminal,Arrival,548,791,67,1406
16-09-2023,China Ferry Terminal,Departure,1164,480,65,1709
17-09-2023,China Ferry Terminal,Arrival,1432,640,58,2130
17-09-2023,China Ferry Terminal,Departure,504,789,94,1387
18-09-2023,China Ferry Terminal,Arrival,639,454,47,1140
18-09-2023,China Ferry Terminal,Departure,708,363,76,1147
19-09-2023,China Ferry Terminal,Arrival,524,552,77,1153
19-09-2023,China Ferry Terminal,Departure,670,451,69,1190
20-09-2023,China Ferry Terminal,Arrival,582,500,64,1146
20-09-2023,China Ferry Terminal,Departure,619,444,62,1125
21-09-2023,China Ferry Terminal,Arrival,701,599,90,1390
21-09-2023,China Ferry Terminal,Departure,631,509,80,1220
22-09-2023,China Ferry Terminal,Arrival,752,710,99,1561
22-09-2023,China Ferry Terminal,Departure,836,549,66,1451
23-09-2023,China Ferry Terminal,Arrival,637,928,80,1645
23-09-2023,China Ferry Terminal,Departure,1293,605,54,1952
24-09-2023,China Ferry Terminal,Arrival,1371,581,63,2015
24-09-2023,China Ferry Terminal,Departure,501,851,79,1431
25-09-2023,China Ferry Terminal,Arrival,646,571,80,1297
25-09-2023,China Ferry Terminal,Departure,830,387,64,1281
26-09-2023,China Ferry Terminal,Arrival,530,524,61,1115
26-09-2023,China Ferry Terminal,Departure,735,594,54,1383
27-09-2023,China Ferry Terminal,Arrival,682,481,62,1225
27-09-2023,China Ferry Terminal,Departure,822,501,36,1359
28-09-2023,China Ferry Terminal,Arrival,923,555,85,1563
28-09-2023,China Ferry Terminal,Departure,1369,484,56,1909
29-09-2023,China Ferry Terminal,Arrival,646,1552,74,2272
29-09-2023,China Ferry Terminal,Departure,3924,515,54,4493
30-09-2023,China Ferry Terminal,Arrival,741,2329,87,3157
30-09-2023,China Ferry Terminal,Departure,4050,859,34,4943
1/10/2023,China Ferry Terminal,Arrival,1787,2403,59,4249
1/10/2023,China Ferry Terminal,Departure,919,1155,43,2117
2/10/2023,China Ferry Terminal,Arrival,4528,1854,76,6458
2/10/2023,China Ferry Terminal,Departure,544,1822,47,2413
3/10/2023,China Ferry Terminal,Arrival,1701,2340,120,4161
3/10/2023,China Ferry Terminal,Departure,668,1873,65,2606
4/10/2023,China Ferry Terminal,Arrival,755,1649,66,2470
4/10/2023,China Ferry Terminal,Departure,746,1877,74,2697
5/10/2023,China Ferry Terminal,Arrival,819,928,81,1828
5/10/2023,China Ferry Terminal,Departure,734,2015,97,2846
6/10/2023,China Ferry Terminal,Arrival,472,441,40,953
6/10/2023,China Ferry Terminal,Departure,756,993,67,1816
7/10/2023,China Ferry Terminal,Arrival,0,0,0,0
7/10/2023,China Ferry Terminal,Departure,0,0,0,0
8/10/2023,China Ferry Terminal,Arrival,0,0,0,0
8/10/2023,China Ferry Terminal,Departure,0,0,0,0
9/10/2023,China Ferry Terminal,Arrival,345,98,13,456
9/10/2023,China Ferry Terminal,Departure,145,67,20,232
10/10/2023,China Ferry Terminal,Arrival,559,441,66,1066
10/10/2023,China Ferry Terminal,Departure,618,279,73,970
11/10/2023,China Ferry Terminal,Arrival,520,475,60,1055
11/10/2023,China Ferry Terminal,Departure,670,349,73,1092
12/10/2023,China Ferry Terminal,Arrival,545,660,70,1275
12/10/2023,China Ferry Terminal,Departure,667,478,75,1220
13-10-2023,China Ferry Terminal,Arrival,774,701,80,1555
13-10-2023,China Ferry Terminal,Departure,1001,575,79,1655
14-10-2023,China Ferry Terminal,Arrival,582,894,82,1558
14-10-2023,China Ferry Terminal,Departure,1063,654,172,1889
15-10-2023,China Ferry Terminal,Arrival,1270,534,87,1891
15-10-2023,China Ferry Terminal,Departure,533,847,160,1540
16-10-2023,China Ferry Terminal,Arrival,682,537,72,1291
16-10-2023,China Ferry Terminal,Departure,814,616,134,1564
17-10-2023,China Ferry Terminal,Arrival,558,461,71,1090
17-10-2023,China Ferry Terminal,Departure,628,429,76,1133
18-10-2023,China Ferry Terminal,Arrival,599,440,99,1138
18-10-2023,China Ferry Terminal,Departure,599,368,55,1022
19-10-2023,China Ferry Terminal,Arrival,490,492,153,1135
19-10-2023,China Ferry Terminal,Departure,627,387,93,1107
20-10-2023,China Ferry Terminal,Arrival,621,505,132,1258
20-10-2023,China Ferry Terminal,Departure,1358,447,64,1869
21-10-2023,China Ferry Terminal,Arrival,539,787,87,1413
21-10-2023,China Ferry Terminal,Departure,2729,534,68,3331
22-10-2023,China Ferry Terminal,Arrival,961,540,69,1570
22-10-2023,China Ferry Terminal,Departure,1316,752,152,2220
23-10-2023,China Ferry Terminal,Arrival,3243,468,50,3761
23-10-2023,China Ferry Terminal,Departure,535,377,138,1050
24-10-2023,China Ferry Terminal,Arrival,959,617,74,1650
24-10-2023,China Ferry Terminal,Departure,713,429,75,1217
25-10-2023,China Ferry Terminal,Arrival,602,1119,139,1860
25-10-2023,China Ferry Terminal,Departure,554,436,54,1044
26-10-2023,China Ferry Terminal,Arrival,612,1755,361,2728
26-10-2023,China Ferry Terminal,Departure,580,512,68,1160
27-10-2023,China Ferry Terminal,Arrival,759,1425,307,2491
27-10-2023,China Ferry Terminal,Departure,921,1292,71,2284
28-10-2023,China Ferry Terminal,Arrival,613,1550,174,2337
28-10-2023,China Ferry Terminal,Departure,1021,1477,112,2610
29-10-2023,China Ferry Terminal,Arrival,1413,859,97,2369
29-10-2023,China Ferry Terminal,Departure,567,1473,239,2279
30-10-2023,China Ferry Terminal,Arrival,843,679,61,1583
30-10-2023,China Ferry Terminal,Departure,696,1832,367,2895
31-10-2023,China Ferry Terminal,Arrival,518,467,82,1067
31-10-2023,China Ferry Terminal,Departure,538,523,149,1210
1/11/2023,China Ferry Terminal,Arrival,516,515,75,1106
1/11/2023,China Ferry Terminal,Departure,614,440,58,1112
2/11/2023,China Ferry Terminal,Arrival,552,472,85,1109
2/11/2023,China Ferry Terminal,Departure,603,495,47,1145
3/11/2023,China Ferry Terminal,Arrival,688,587,133,1408
3/11/2023,China Ferry Terminal,Departure,1087,477,46,1610
4/11/2023,China Ferry Terminal,Arrival,548,980,111,1639
4/11/2023,China Ferry Terminal,Departure,1120,591,47,1758
5/11/2023,China Ferry Terminal,Arrival,1491,564,86,2141
5/11/2023,China Ferry Terminal,Departure,451,792,73,1316
6/11/2023,China Ferry Terminal,Arrival,590,559,70,1219
6/11/2023,China Ferry Terminal,Departure,677,382,82,1141
7/11/2023,China Ferry Terminal,Arrival,502,607,90,1199
7/11/2023,China Ferry Terminal,Departure,556,435,68,1059
8/11/2023,China Ferry Terminal,Arrival,555,539,71,1165
8/11/2023,China Ferry Terminal,Departure,657,487,54,1198
9/11/2023,China Ferry Terminal,Arrival,594,542,67,1203
9/11/2023,China Ferry Terminal,Departure,664,471,58,1193
10/11/2023,China Ferry Terminal,Arrival,763,562,110,1435
10/11/2023,China Ferry Terminal,Departure,1111,537,55,1703
11/11/2023,China Ferry Terminal,Arrival,549,1022,101,1672
11/11/2023,China Ferry Terminal,Departure,1135,607,60,1802
12/11/2023,China Ferry Terminal,Arrival,1443,510,72,2025
12/11/2023,China Ferry Terminal,Departure,561,801,92,1454
13-11-2023,China Ferry Terminal,Arrival,704,597,58,1359
13-11-2023,China Ferry Terminal,Departure,739,481,89,1309
14-11-2023,China Ferry Terminal,Arrival,588,639,78,1305
14-11-2023,China Ferry Terminal,Departure,619,444,107,1170
15-11-2023,China Ferry Terminal,Arrival,536,631,64,1231
15-11-2023,China Ferry Terminal,Departure,726,593,70,1389
16-11-2023,China Ferry Terminal,Arrival,589,672,80,1341
16-11-2023,China Ferry Terminal,Departure,776,674,86,1536
17-11-2023,China Ferry Terminal,Arrival,761,769,126,1656
17-11-2023,China Ferry Terminal,Departure,1235,652,66,1953
18-11-2023,China Ferry Terminal,Arrival,689,1056,109,1854
18-11-2023,China Ferry Terminal,Departure,1427,626,51,2104
19-11-2023,China Ferry Terminal,Arrival,1842,627,104,2573
19-11-2023,China Ferry Terminal,Departure,572,1004,96,1672
20-11-2023,China Ferry Terminal,Arrival,844,677,66,1587
20-11-2023,China Ferry Terminal,Departure,780,541,80,1401
21-11-2023,China Ferry Terminal,Arrival,618,614,75,1307
21-11-2023,China Ferry Terminal,Departure,651,530,64,1245
22-11-2023,China Ferry Terminal,Arrival,628,549,57,1234
22-11-2023,China Ferry Terminal,Departure,770,561,67,1398
23-11-2023,China Ferry Terminal,Arrival,752,616,97,1465
23-11-2023,China Ferry Terminal,Departure,752,579,63,1394
24-11-2023,China Ferry Terminal,Arrival,832,675,104,1611
24-11-2023,China Ferry Terminal,Departure,1196,526,50,1772
25-11-2023,China Ferry Terminal,Arrival,745,992,124,1861
25-11-2023,China Ferry Terminal,Departure,1560,615,57,2232
26-11-2023,China Ferry Terminal,Arrival,1807,487,78,2372
26-11-2023,China Ferry Terminal,Departure,579,1072,113,1764
27-11-2023,China Ferry Terminal,Arrival,863,633,76,1572
27-11-2023,China Ferry Terminal,Departure,797,524,81,1402
28-11-2023,China Ferry Terminal,Arrival,530,523,53,1106
28-11-2023,China Ferry Terminal,Departure,641,549,47,1237
29-11-2023,China Ferry Terminal,Arrival,624,550,83,1257
29-11-2023,China Ferry Terminal,Departure,662,470,48,1180
30-11-2023,China Ferry Terminal,Arrival,734,543,83,1360
30-11-2023,China Ferry Terminal,Departure,679,502,42,1223
1/12/2023,China Ferry Terminal,Arrival,928,663,168,1759
1/12/2023,China Ferry Terminal,Departure,1417,580,147,2144
2/12/2023,China Ferry Terminal,Arrival,722,1081,189,1992
2/12/2023,China Ferry Terminal,Departure,1543,686,140,2369
3/12/2023,China Ferry Terminal,Arrival,1844,703,108,2655
3/12/2023,China Ferry Terminal,Departure,623,976,96,1695
4/12/2023,China Ferry Terminal,Arrival,928,601,150,1679
4/12/2023,China Ferry Terminal,Departure,753,569,82,1404
5/12/2023,China Ferry Terminal,Arrival,676,683,149,1508
5/12/2023,China Ferry Terminal,Departure,643,523,145,1311
6/12/2023,China Ferry Terminal,Arrival,567,607,178,1352
6/12/2023,China Ferry Terminal,Departure,660,572,116,1348
7/12/2023,China Ferry Terminal,Arrival,607,603,163,1373
7/12/2023,China Ferry Terminal,Departure,659,661,112,1432
8/12/2023,China Ferry Terminal,Arrival,976,764,168,1908
8/12/2023,China Ferry Terminal,Departure,1083,665,123,1871
9/12/2023,China Ferry Terminal,Arrival,670,1432,193,2295
9/12/2023,China Ferry Terminal,Departure,1305,734,161,2200
10/12/2023,China Ferry Terminal,Arrival,1356,741,209,2306
10/12/2023,China Ferry Terminal,Departure,773,1134,166,2073
11/12/2023,China Ferry Terminal,Arrival,1274,815,176,2265
11/12/2023,China Ferry Terminal,Departure,750,733,174,1657
12/12/2023,China Ferry Terminal,Arrival,647,724,126,1497
12/12/2023,China Ferry Terminal,Departure,834,775,135,1744
13-12-2023,China Ferry Terminal,Arrival,689,793,145,1627
13-12-2023,China Ferry Terminal,Departure,637,666,174,1477
14-12-2023,China Ferry Terminal,Arrival,813,779,190,1782
14-12-2023,China Ferry Terminal,Departure,720,785,143,1648
15-12-2023,China Ferry Terminal,Arrival,976,936,193,2105
15-12-2023,China Ferry Terminal,Departure,1253,795,140,2188
16-12-2023,China Ferry Terminal,Arrival,723,1029,184,1936
16-12-2023,China Ferry Terminal,Departure,1212,733,174,2119
17-12-2023,China Ferry Terminal,Arrival,1481,921,169,2571
17-12-2023,China Ferry Terminal,Departure,738,1298,229,2265
18-12-2023,China Ferry Terminal,Arrival,773,938,139,1850
18-12-2023,China Ferry Terminal,Departure,823,740,131,1694
19-12-2023,China Ferry Terminal,Arrival,714,760,180,1654
19-12-2023,China Ferry Terminal,Departure,749,749,172,1670
20-12-2023,China Ferry Terminal,Arrival,717,860,183,1760
20-12-2023,China Ferry Terminal,Departure,819,810,196,1825
21-12-2023,China Ferry Terminal,Arrival,662,835,169,1666
21-12-2023,China Ferry Terminal,Departure,1041,912,167,2120
22-12-2023,China Ferry Terminal,Arrival,738,669,181,1588
22-12-2023,China Ferry Terminal,Departure,2153,734,148,3035
23-12-2023,China Ferry Terminal,Arrival,604,1550,266,2420
23-12-2023,China Ferry Terminal,Departure,4106,871,229,5206
24-12-2023,China Ferry Terminal,Arrival,881,1054,208,2143
24-12-2023,China Ferry Terminal,Departure,3250,1415,223,4888
25-12-2023,China Ferry Terminal,Arrival,2634,783,131,3548
25-12-2023,China Ferry Terminal,Departure,1490,780,147,2417
26-12-2023,China Ferry Terminal,Arrival,4220,604,183,5007
26-12-2023,China Ferry Terminal,Departure,951,623,239,1813
27-12-2023,China Ferry Terminal,Arrival,1575,681,240,2496
27-12-2023,China Ferry Terminal,Departure,1077,753,283,2113
28-12-2023,China Ferry Terminal,Arrival,1137,700,332,2169
28-12-2023,China Ferry Terminal,Departure,1056,663,327,2046
29-12-2023,China Ferry Terminal,Arrival,1311,879,342,2532
29-12-2023,China Ferry Terminal,Departure,1294,786,277,2357
30-12-2023,China Ferry Terminal,Arrival,1338,1648,357,3343
30-12-2023,China Ferry Terminal,Departure,2097,1000,322,3419
31-12-2023,China Ferry Terminal,Arrival,1265,2139,213,3617
31-12-2023,China Ferry Terminal,Departure,946,1016,140,2102
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
